    um         	nN
1.615221e-002	-1.633804e+000
1.596615e-002	-1.641074e+000
1.626702e-002	-1.643093e+000
1.583750e-002	-1.652988e+000
1.596993e-002	-1.656824e+000
1.625220e-002	-1.659046e+000
1.636592e-002	-1.663084e+000
1.661073e-002	-1.665709e+000
1.618131e-002	-1.675604e+000
1.674451e-002	-1.674796e+000
1.652110e-002	-1.682469e+000
1.659736e-002	-1.686912e+000
1.669234e-002	-1.691152e+000
1.585090e-002	-1.705489e+000
1.675121e-002	-1.701047e+000
1.613451e-002	-1.712960e+000
1.735320e-002	-1.705085e+000
1.604355e-002	-1.724470e+000
1.761809e-002	-1.712758e+000
1.679537e-002	-1.726894e+000
1.771441e-002	-1.722249e+000
1.730373e-002	-1.731942e+000
1.726761e-002	-1.737596e+000
1.741877e-002	-1.741230e+000
1.756995e-002	-1.744865e+000
1.777729e-002	-1.747894e+000
1.777863e-002	-1.753144e+000
1.787362e-002	-1.757385e+000
1.798733e-002	-1.761423e+000
1.823215e-002	-1.764048e+000
1.797128e-002	-1.772126e+000
1.778534e-002	-1.779395e+000
1.827362e-002	-1.779395e+000
1.844352e-002	-1.782828e+000
1.829503e-002	-1.789693e+000
1.775324e-002	-1.800799e+000
1.837263e-002	-1.799386e+000
1.811176e-002	-1.807463e+000
1.831912e-002	-1.810492e+000
1.807698e-002	-1.818367e+000
1.817197e-002	-1.822608e+000
1.822950e-002	-1.827252e+000
1.817465e-002	-1.833108e+000
1.836328e-002	-1.836339e+000
1.806496e-002	-1.844820e+000
1.881544e-002	-1.841993e+000
1.804891e-002	-1.855522e+000
1.876194e-002	-1.853099e+000
1.870709e-002	-1.858955e+000
1.835258e-002	-1.868042e+000
1.841011e-002	-1.872686e+000
1.889840e-002	-1.872686e+000
1.908703e-002	-1.875917e+000
1.963150e-002	-1.875311e+000
1.927698e-002	-1.884398e+000
1.985893e-002	-1.883388e+000
1.946695e-002	-1.892879e+000
1.999269e-002	-1.892475e+000
1.988166e-002	-1.898937e+000
1.971445e-002	-1.906004e+000
2.039002e-002	-1.903985e+000
2.005424e-002	-1.912870e+000
2.084219e-002	-1.909639e+000
1.998202e-002	-1.924178e+000
2.052649e-002	-1.923572e+000
2.032181e-002	-1.931043e+000
2.024824e-002	-1.937101e+000
2.015593e-002	-1.943361e+000
1.989507e-002	-1.951438e+000
2.023353e-002	-1.953053e+000
2.017868e-002	-1.958909e+000
2.023619e-002	-1.963554e+000
2.044355e-002	-1.966583e+000
2.022015e-002	-1.974256e+000
2.070844e-002	-1.974256e+000
2.037266e-002	-1.983141e+000
2.048638e-002	-1.987180e+000
2.030042e-002	-1.994449e+000
2.003956e-002	-2.002526e+000
2.099606e-002	-1.997478e+000
2.019207e-002	-2.011411e+000
2.139205e-002	-2.003738e+000
2.043824e-002	-2.019286e+000
2.141346e-002	-2.014036e+000
2.105896e-002	-2.023123e+000
2.115393e-002	-2.027363e+000
2.111782e-002	-2.033017e+000
2.061348e-002	-2.043720e+000
2.170108e-002	-2.037258e+000
2.110311e-002	-2.048970e+000
2.086098e-002	-2.056845e+000
2.093723e-002	-2.061287e+000
2.071383e-002	-2.068961e+000
2.110848e-002	-2.069970e+000
2.129709e-002	-2.073201e+000
2.103624e-002	-2.081278e+000
2.171181e-002	-2.079259e+000
2.169442e-002	-2.084711e+000
2.214524e-002	-2.085115e+000
2.089178e-002	-2.103894e+000
2.162353e-002	-2.101269e+000
2.108174e-002	-2.112375e+000
2.186968e-002	-2.109144e+000
2.153390e-002	-2.118029e+000
2.204092e-002	-2.117827e+000
2.239810e-002	-2.119241e+000
2.219343e-002	-2.126712e+000
2.208240e-002	-2.133174e+000
2.243958e-002	-2.134587e+000
2.204762e-002	-2.144078e+000
2.272319e-002	-2.142059e+000
2.176937e-002	-2.157607e+000
2.255731e-002	-2.154376e+000
2.100417e-002	-2.176387e+000
2.220414e-002	-2.168713e+000
2.132524e-002	-2.183454e+000
2.220682e-002	-2.179214e+000
2.196468e-002	-2.187089e+000
2.215332e-002	-2.190320e+000
2.249178e-002	-2.191935e+000
2.232457e-002	-2.199003e+000
2.270047e-002	-2.200214e+000
2.253325e-002	-2.207282e+000
2.320882e-002	-2.205262e+000
2.317271e-002	-2.210916e+000
2.321151e-002	-2.215763e+000
2.390579e-002	-2.213542e+000
2.332655e-002	-2.225051e+000
2.366501e-002	-2.226667e+000
2.396601e-002	-2.228686e+000
2.372387e-002	-2.236561e+000
2.361284e-002	-2.243023e+000
2.432587e-002	-2.240600e+000
2.370917e-002	-2.252514e+000
2.406635e-002	-2.253927e+000
2.346838e-002	-2.265639e+000
2.367574e-002	-2.268668e+000
2.347106e-002	-2.276139e+000
2.358476e-002	-2.280178e+000
2.343628e-002	-2.287043e+000
2.369982e-002	-2.289467e+000
2.396336e-002	-2.291890e+000
2.345902e-002	-2.302592e+000
2.374130e-002	-2.304813e+000
2.361154e-002	-2.311477e+000
2.391252e-002	-2.313496e+000
2.352056e-002	-2.322987e+000
2.443962e-002	-2.318342e+000
2.393528e-002	-2.329045e+000
2.491051e-002	-2.323794e+000
2.376941e-002	-2.341362e+000
2.474463e-002	-2.336112e+000
2.442759e-002	-2.344795e+000
2.489714e-002	-2.344997e+000
2.459882e-002	-2.353478e+000
2.437542e-002	-2.361151e+000
