    um         	nN
1.765247e+000	-6.628634e+000
1.762614e+000	-6.674820e+000
1.760554e+000	-6.708690e+000
1.758893e+000	-6.733938e+000
1.756889e+000	-6.766576e+000
1.755114e+000	-6.794288e+000
1.755856e+000	-6.767808e+000
1.757655e+000	-6.718543e+000
1.758596e+000	-6.687752e+000
1.759309e+000	-6.661887e+000
1.759850e+000	-6.639718e+000
1.759361e+000	-6.639718e+000
1.758359e+000	-6.650803e+000
1.756755e+000	-6.674820e+000
1.754637e+000	-6.709921e+000
1.753005e+000	-6.734554e+000
1.751201e+000	-6.762881e+000
1.749798e+000	-6.782587e+000
1.749796e+000	-6.772118e+000
1.750423e+000	-6.748102e+000
1.750821e+000	-6.729012e+000
1.751419e+000	-6.705611e+000
1.752160e+000	-6.679131e+000
1.752501e+000	-6.661272e+000
1.752099e+000	-6.659425e+000
1.751096e+000	-6.670509e+000
1.750236e+000	-6.678515e+000
1.749176e+000	-6.690831e+000
1.748487e+000	-6.695142e+000
1.747656e+000	-6.702531e+000
1.746910e+000	-6.708074e+000
1.745650e+000	-6.724701e+000
1.744361e+000	-6.741943e+000
1.743816e+000	-6.743175e+000
1.744042e+000	-6.727780e+000
1.744755e+000	-6.701915e+000
1.744895e+000	-6.688368e+000
1.745036e+000	-6.674820e+000
1.745291e+000	-6.658809e+000
1.744574e+000	-6.663735e+000
1.743228e+000	-6.682209e+000
1.742139e+000	-6.695142e+000
1.741308e+000	-6.702531e+000
1.739619e+000	-6.728396e+000
1.737501e+000	-6.763497e+000
1.736698e+000	-6.770271e+000
1.737296e+000	-6.746870e+000
1.738552e+000	-6.709306e+000
1.738893e+000	-6.691447e+000
1.739234e+000	-6.673588e+000
1.740004e+000	-6.646492e+000
1.739687e+000	-6.642797e+000
1.738656e+000	-6.654498e+000
1.737023e+000	-6.679131e+000
1.734648e+000	-6.719774e+000
1.732387e+000	-6.757955e+000
1.731270e+000	-6.771503e+000
1.731096e+000	-6.764729e+000
1.731494e+000	-6.745639e+000
1.731835e+000	-6.727780e+000
1.732262e+000	-6.708074e+000
1.732488e+000	-6.692678e+000
1.732457e+000	-6.682825e+000
1.731883e+000	-6.684673e+000
1.731252e+000	-6.687752e+000
1.730249e+000	-6.698837e+000
1.728932e+000	-6.716695e+000
1.728386e+000	-6.717927e+000
1.728155e+000	-6.712384e+000
1.726952e+000	-6.727780e+000
1.725720e+000	-6.743791e+000
1.725461e+000	-6.738865e+000
1.725087e+000	-6.736401e+000
1.725113e+000	-6.725317e+000
1.725969e+000	-6.696373e+000
1.725767e+000	-6.690215e+000
1.725307e+000	-6.689600e+000
1.725076e+000	-6.684057e+000
1.725131e+000	-6.672356e+000
1.724814e+000	-6.668662e+000
1.723868e+000	-6.678515e+000
1.723037e+000	-6.685904e+000
1.720890e+000	-6.721622e+000
1.719058e+000	-6.750565e+000
1.718513e+000	-6.751796e+000
1.719254e+000	-6.725317e+000
1.720424e+000	-6.689600e+000
1.721337e+000	-6.659425e+000
1.721420e+000	-6.647108e+000
1.721504e+000	-6.634792e+000
1.721016e+000	-6.634792e+000
1.719870e+000	-6.648956e+000
1.718066e+000	-6.677283e+000
1.716377e+000	-6.703147e+000
1.715174e+000	-6.718543e+000
1.714285e+000	-6.727164e+000
1.712968e+000	-6.745023e+000
1.711908e+000	-6.757339e+000
1.712249e+000	-6.739481e+000
1.713562e+000	-6.700684e+000
1.714160e+000	-6.677283e+000
1.713900e+000	-6.672356e+000
1.713355e+000	-6.673588e+000
1.712952e+000	-6.671740e+000
1.711578e+000	-6.690831e+000
1.710146e+000	-6.711153e+000
1.708685e+000	-6.732090e+000
1.707311e+000	-6.751181e+000
1.706851e+000	-6.750565e+000
1.706506e+000	-6.747486e+000
1.706789e+000	-6.730859e+000
1.707845e+000	-6.697605e+000
1.708444e+000	-6.674204e+000
1.708012e+000	-6.672972e+000
1.707238e+000	-6.679131e+000
1.706750e+000	-6.679131e+000
1.705833e+000	-6.688368e+000
1.704658e+000	-6.703147e+000
1.703541e+000	-6.716695e+000
1.702967e+000	-6.718543e+000
1.702736e+000	-6.713000e+000
1.702019e+000	-6.717927e+000
1.701845e+000	-6.711153e+000
1.702300e+000	-6.690831e+000
1.701926e+000	-6.688368e+000
1.701924e+000	-6.677899e+000
1.701979e+000	-6.666198e+000
1.700976e+000	-6.677283e+000
1.699830e+000	-6.691447e+000
1.698713e+000	-6.704995e+000
1.698568e+000	-6.697605e+000
1.698680e+000	-6.684673e+000
1.698335e+000	-6.681594e+000
1.698190e+000	-6.674204e+000
1.698416e+000	-6.658809e+000
1.698156e+000	-6.653882e+000
1.696782e+000	-6.672972e+000
1.695321e+000	-6.693910e+000
1.693432e+000	-6.724085e+000
1.693230e+000	-6.717927e+000
1.693628e+000	-6.698837e+000
1.693883e+000	-6.682825e+000
1.694796e+000	-6.652650e+000
1.695337e+000	-6.630481e+000
1.695049e+000	-6.626170e+000
1.693817e+000	-6.642181e+000
1.692213e+000	-6.666198e+000
1.690410e+000	-6.694526e+000
1.688006e+000	-6.735785e+000
1.686574e+000	-6.756107e+000
1.686400e+000	-6.749334e+000
1.686570e+000	-6.735170e+000
1.687139e+000	-6.712384e+000
1.688452e+000	-6.673588e+000
1.689708e+000	-6.636023e+000
1.689563e+000	-6.628634e+000
1.688989e+000	-6.630481e+000
1.687814e+000	-6.645261e+000
1.685553e+000	-6.683441e+000
1.683750e+000	-6.711768e+000
1.682261e+000	-6.733322e+000
1.681201e+000	-6.745639e+000
1.680970e+000	-6.740096e+000
1.681311e+000	-6.722237e+000
1.682080e+000	-6.695142e+000
1.682307e+000	-6.679746e+000
1.682676e+000	-6.661272e+000
1.682217e+000	-6.660656e+000
1.679784e+000	-6.702531e+000
1.678181e+000	-6.726548e+000
1.677321e+000	-6.734554e+000
1.676232e+000	-6.747486e+000
1.676144e+000	-6.738865e+000
1.676313e+000	-6.724701e+000
1.676283e+000	-6.714848e+000
1.676766e+000	-6.693910e+000
1.677422e+000	-6.669278e+000
1.677420e+000	-6.658809e+000
1.676417e+000	-6.669893e+000
1.674613e+000	-6.698221e+000
1.672953e+000	-6.723469e+000
1.671120e+000	-6.752412e+000
1.670432e+000	-6.756723e+000
1.669944e+000	-6.756723e+000
1.670370e+000	-6.737017e+000
1.671969e+000	-6.692062e+000
1.672882e+000	-6.661887e+000
1.672651e+000	-6.656345e+000
1.671734e+000	-6.665583e+000
1.670674e+000	-6.677899e+000
1.670014e+000	-6.681594e+000
1.668525e+000	-6.703147e+000
1.667007e+000	-6.725317e+000
1.665862e+000	-6.739481e+000
1.664601e+000	-6.756107e+000
1.664427e+000	-6.749334e+000
1.664740e+000	-6.732090e+000
1.666253e+000	-6.688984e+000
1.666937e+000	-6.663735e+000
1.666649e+000	-6.659425e+000
1.666618e+000	-6.649572e+000
1.665930e+000	-6.653882e+000
1.664069e+000	-6.683441e+000
1.661064e+000	-6.737633e+000
1.658575e+000	-6.780740e+000
1.657772e+000	-6.787514e+000
1.658227e+000	-6.767192e+000
1.658883e+000	-6.742559e+000
1.659767e+000	-6.713000e+000
