    um         	nN
-4.295411e-002	-5.023204e+000
-4.260891e-002	-5.026283e+000
-4.263540e-002	-5.037367e+000
-4.231878e-002	-5.041062e+000
-4.331744e-002	-5.073085e+000
-4.280069e-002	-5.072469e+000
-4.179783e-002	-5.061384e+000
-4.296804e-002	-5.097101e+000
-4.196521e-002	-5.086017e+000
-4.410757e-002	-5.142672e+000
-4.184666e-002	-5.104491e+000
-4.321702e-002	-5.144519e+000
-4.270014e-002	-5.143904e+000
-4.458505e-002	-5.195016e+000
-4.355350e-002	-5.183316e+000
-4.423753e-002	-5.208564e+000
-4.269131e-002	-5.185779e+000
-4.443326e-002	-5.233812e+000
-4.262970e-002	-5.205485e+000
-4.465759e-002	-5.259677e+000
-4.162453e-002	-5.204869e+000
-4.485332e-002	-5.284925e+000
-4.385037e-002	-5.273840e+000
-4.487751e-002	-5.306479e+000
-4.438923e-002	-5.306479e+000
-4.361501e-002	-5.300321e+000
-4.495666e-002	-5.339733e+000
-4.415385e-002	-5.332959e+000
-4.495226e-002	-5.360671e+000
-4.332025e-002	-5.336038e+000
-4.426160e-002	-5.366828e+000
-4.385911e-002	-5.368676e+000
-4.377111e-002	-5.377297e+000
-4.296832e-002	-5.370524e+000
-4.356655e-002	-5.393924e+000
-4.319264e-002	-5.396388e+000
-4.490600e-002	-5.443805e+000
-4.364570e-002	-5.427178e+000
-4.450129e-002	-5.456122e+000
-4.369847e-002	-5.449348e+000
-4.561198e-002	-5.501076e+000
-4.526667e-002	-5.504155e+000
-4.523587e-002	-5.514008e+000
-4.540522e-002	-5.528172e+000
-4.571753e-002	-5.545415e+000
-4.611563e-002	-5.564505e+000
-4.539860e-002	-5.559579e+000
-4.528202e-002	-5.567584e+000
-4.579448e-002	-5.589138e+000
-4.539197e-002	-5.590985e+000
-4.670504e-002	-5.629782e+000
-4.450120e-002	-5.592833e+000
-4.632893e-002	-5.642714e+000
-4.469693e-002	-5.618081e+000
-4.675341e-002	-5.672889e+000
-4.489265e-002	-5.643329e+000
-4.551949e-002	-5.667346e+000
-4.611774e-002	-5.690747e+000
-4.597257e-002	-5.698137e+000
-4.737142e-002	-5.738781e+000
-4.531053e-002	-5.704911e+000
-4.616609e-002	-5.733854e+000
-4.576358e-002	-5.735702e+000
-4.621887e-002	-5.756024e+000
-4.610229e-002	-5.764029e+000
-4.575696e-002	-5.767108e+000
-4.595491e-002	-5.781888e+000
-4.678190e-002	-5.810215e+000
-4.652234e-002	-5.815142e+000
-4.606266e-002	-5.815758e+000
-4.571735e-002	-5.818837e+000
-4.617261e-002	-5.839158e+000
-4.714257e-002	-5.870565e+000
-4.582510e-002	-5.852707e+000
-4.656629e-002	-5.879186e+000
-4.604942e-002	-5.878571e+000
-4.681921e-002	-5.905667e+000
-4.655968e-002	-5.910593e+000
-4.644310e-002	-5.918599e+000
-4.706994e-002	-5.942616e+000
-4.712491e-002	-5.954316e+000
-4.812345e-002	-5.986339e+000
-4.766377e-002	-5.986954e+000
-4.700391e-002	-5.983259e+000
-4.845996e-002	-6.025135e+000
-4.694233e-002	-6.002966e+000
-4.982798e-002	-6.075632e+000
-4.730961e-002	-6.031909e+000
-4.908016e-002	-6.080558e+000
-4.802002e-002	-6.068242e+000
-4.956182e-002	-6.111965e+000
-4.833012e-002	-6.095954e+000
-4.709842e-002	-6.079942e+000
-4.864022e-002	-6.123665e+000
-4.786601e-002	-6.117507e+000
-4.849285e-002	-6.141524e+000
-4.766146e-002	-6.134134e+000
-4.768785e-002	-6.145219e+000
-4.862919e-002	-6.176009e+000
-4.822668e-002	-6.177857e+000
-4.851042e-002	-6.194484e+000
-4.759324e-002	-6.185247e+000
-4.842021e-002	-6.213574e+000
-4.864676e-002	-6.228970e+000
-4.890189e-002	-6.244981e+000
-4.881389e-002	-6.253602e+000
-4.798250e-002	-6.246212e+000
-4.961008e-002	-6.291783e+000
-4.852135e-002	-6.278851e+000
-5.046346e-002	-6.331195e+000
-4.785929e-002	-6.285624e+000
-5.000155e-002	-6.342280e+000
-4.885563e-002	-6.328116e+000
-4.999715e-002	-6.363218e+000
-4.939449e-002	-6.360754e+000
-4.916353e-002	-6.366296e+000
-5.024785e-002	-6.400166e+000
-4.990254e-002	-6.403245e+000
-5.004329e-002	-6.416793e+000
-4.935486e-002	-6.412483e+000
-4.943843e-002	-6.424799e+000
-4.977934e-002	-6.442658e+000
-4.963416e-002	-6.450047e+000
-4.880277e-002	-6.442658e+000
-4.951538e-002	-6.468522e+000
-4.851243e-002	-6.457437e+000
-5.008281e-002	-6.501776e+000
-4.890831e-002	-6.486996e+000
-4.999263e-002	-6.520866e+000
-4.956152e-002	-6.522098e+000
-5.067444e-002	-6.556583e+000
-5.055787e-002	-6.564589e+000
-5.038411e-002	-6.571363e+000
-4.978145e-002	-6.568900e+000
-4.963627e-002	-6.576289e+000
-5.003437e-002	-6.595380e+000
-5.006075e-002	-6.606464e+000
-4.937231e-002	-6.602153e+000
-4.979900e-002	-6.621860e+000
-4.976819e-002	-6.631713e+000
-5.016630e-002	-6.650803e+000
-5.004972e-002	-6.658809e+000
-4.976159e-002	-6.663119e+000
-5.073153e-002	-6.694526e+000
-5.047200e-002	-6.699453e+000
-5.018384e-002	-6.703763e+000
