    um         	pN
2.927785e-002	2.805022e+002
2.922452e-002	2.783437e+002
2.967218e-002	2.781818e+002
2.909079e-002	2.739186e+002
2.980926e-002	2.748360e+002
2.926848e-002	2.707348e+002
2.971614e-002	2.705729e+002
2.994716e-002	2.695476e+002
2.971781e-002	2.666875e+002
2.990821e-002	2.655003e+002
2.992258e-002	2.636116e+002
3.012652e-002	2.624784e+002
3.033046e-002	2.613451e+002
2.957304e-002	2.563805e+002
3.057585e-002	2.584311e+002
2.953409e-002	2.523332e+002
3.084833e-002	2.556250e+002
2.996905e-002	2.501747e+002
3.048441e-002	2.502826e+002
3.003842e-002	2.465592e+002
3.059440e-002	2.468290e+002
3.018903e-002	2.432674e+002
3.082626e-002	2.438610e+002
3.001468e-002	2.386805e+002
3.097687e-002	2.405692e+002
3.005696e-002	2.349570e+002
3.105978e-002	2.370076e+002
3.005863e-002	2.310716e+002
3.099375e-002	2.328524e+002
3.011446e-002	2.274021e+002
3.114436e-002	2.295606e+002
3.042756e-002	2.247579e+002
3.113249e-002	2.256213e+002
3.055109e-002	2.213582e+002
3.093105e-002	2.209265e+002
3.113499e-002	2.197933e+002
3.104104e-002	2.174728e+002
3.131268e-002	2.166094e+002
3.129998e-002	2.146128e+002
3.132789e-002	2.127780e+002
3.135581e-002	2.109432e+002
3.127540e-002	2.086768e+002
3.112729e-002	2.061405e+002
3.115521e-002	2.043057e+002
3.129145e-002	2.029027e+002
3.121104e-002	2.006362e+002
3.106293e-002	1.980999e+002
3.140227e-002	1.975063e+002
3.101044e-002	1.939987e+002
3.149872e-002	1.939987e+002
3.124229e-002	1.910307e+002
3.139207e-002	1.896816e+002
3.179911e-002	1.893579e+002
3.166454e-002	1.868755e+002
3.199034e-002	1.862280e+002
3.159851e-002	1.827204e+002
3.176183e-002	1.814252e+002
3.206055e-002	1.806697e+002
3.158747e-002	1.768383e+002
3.244135e-002	1.782954e+002
3.145374e-002	1.724133e+002
3.251071e-002	1.746798e+002
3.178037e-002	1.698231e+002
3.237698e-002	1.702548e+002
3.186328e-002	1.662615e+002
3.190474e-002	1.644807e+002
3.225762e-002	1.639411e+002
3.232616e-002	1.622682e+002
3.234053e-002	1.603795e+002
3.216534e-002	1.577353e+002
3.226096e-002	1.561703e+002
3.228887e-002	1.543356e+002
3.246573e-002	1.530944e+002
3.257489e-002	1.515834e+002
3.245386e-002	1.491551e+002
3.276612e-002	1.484535e+002
3.261801e-002	1.459173e+002
3.309276e-002	1.458633e+002
3.201037e-002	1.396035e+002
3.285070e-002	1.410066e+002
3.251303e-002	1.377148e+002
3.300131e-002	1.377148e+002
3.271780e-002	1.346389e+002
3.293528e-002	1.335596e+002
3.297674e-002	1.317788e+002
3.311297e-002	1.303758e+002
3.282946e-002	1.272999e+002
3.314172e-002	1.265983e+002
3.276343e-002	1.231447e+002
3.326526e-002	1.231986e+002
3.295466e-002	1.200148e+002
3.299612e-002	1.182340e+002
3.295633e-002	1.161294e+002
3.324151e-002	1.153200e+002
3.352669e-002	1.145105e+002
3.295883e-002	1.103014e+002
3.343358e-002	1.102474e+002
3.306883e-002	1.068477e+002
3.344879e-002	1.064160e+002
3.358502e-002	1.050129e+002
3.299009e-002	1.006959e+002
3.342421e-002	1.004800e+002
3.319486e-002	9.761994e+001
3.361544e-002	9.735012e+001
3.325069e-002	9.395042e+001
3.352233e-002	9.308700e+001
3.317112e-002	8.974127e+001
3.360524e-002	8.952541e+001
3.311862e-002	8.564004e+001
3.372877e-002	8.612572e+001
3.270054e-002	8.008181e+001
3.390646e-002	8.294187e+001
3.293240e-002	7.711382e+001
3.388105e-002	7.894858e+001
3.319133e-002	7.425375e+001
3.367962e-002	7.425375e+001
3.385648e-002	7.301259e+001
3.328862e-002	6.880344e+001
3.389876e-002	6.928911e+001
3.362879e-002	6.626716e+001
3.380565e-002	6.502600e+001
3.387419e-002	6.335313e+001
3.384794e-002	6.130252e+001
3.378107e-002	5.909001e+001
3.398501e-002	5.795678e+001
3.395877e-002	5.590617e+001
3.409501e-002	5.450312e+001
3.375733e-002	5.121134e+001
3.413729e-002	5.077964e+001
3.354236e-002	4.646256e+001
3.440977e-002	4.797353e+001
3.369297e-002	4.317079e+001
3.419479e-002	4.322475e+001
3.411439e-002	4.095828e+001
3.425062e-002	3.955523e+001
3.426500e-002	3.766651e+001
3.407627e-002	3.496834e+001
3.433437e-002	3.405096e+001
3.410502e-002	3.119089e+001
3.453914e-002	3.097504e+001
3.456706e-002	2.914028e+001
3.455435e-002	2.714363e+001
3.423022e-002	2.390582e+001
3.479974e-002	2.422960e+001
3.436729e-002	2.056009e+001
3.535657e-002	2.255674e+001
3.407107e-002	1.548752e+001
3.554780e-002	1.942685e+001
3.419460e-002	1.208782e+001
3.533282e-002	1.467807e+001
3.406087e-002	7.662815e+000
3.492828e-002	9.173792e+000
3.487495e-002	7.015253e+000
3.461853e-002	4.047261e+000
3.525575e-002	4.640859e+000
3.443063e-002	-5.935983e-001
3.510848e-002	1.618905e-001
3.473018e-002	-3.291772e+000
3.492058e-002	-4.478969e+000
3.485372e-002	-6.691472e+000
3.462437e-002	-9.551537e+000
3.513973e-002	-9.443609e+000
3.511349e-002	-1.149422e+001
3.468103e-002	-1.516374e+001
3.523702e-002	-1.489392e+001
3.446605e-002	-1.991252e+001
3.553657e-002	-1.759209e+001
3.441356e-002	-2.401375e+001
3.549762e-002	-2.163936e+001
3.441523e-002	-2.789912e+001
3.547221e-002	-2.563265e+001
3.494497e-002	-2.967991e+001
3.513537e-002	-3.086711e+001
3.470291e-002	-3.453663e+001
3.546200e-002	-3.345736e+001
3.471812e-002	-3.836803e+001
3.568032e-002	-3.647931e+001
3.488228e-002	-4.160584e+001
3.538410e-002	-4.155188e+001
3.516829e-002	-4.435798e+001
3.508788e-002	-4.662445e+001
3.552201e-002	-4.684030e+001
3.503539e-002	-5.072567e+001
3.576740e-002	-4.975433e+001
3.509122e-002	-5.439519e+001
3.563367e-002	-5.417933e+001
3.502519e-002	-5.855038e+001
3.541869e-002	-5.892812e+001
3.528412e-002	-6.141044e+001
3.540682e-002	-6.286745e+001
3.516393e-002	-6.578148e+001
3.562513e-002	-6.588941e+001
3.519268e-002	-6.955893e+001
3.601947e-002	-6.820984e+001
3.489646e-002	-7.463150e+001
3.587220e-002	-7.268881e+001
3.531788e-002	-7.684400e+001
3.594157e-002	-7.630437e+001
3.571222e-002	-7.916443e+001
3.592969e-002	-8.024370e+001
3.561910e-002	-8.342754e+001
3.583658e-002	-8.450681e+001
