    um         	pN
1.659685e+000	-4.394246e+002
1.659143e+000	-4.396405e+002
1.658235e+000	-4.413133e+002
1.657584e+000	-4.419609e+002
1.656879e+000	-4.428243e+002
1.656269e+000	-4.433100e+002
1.656255e+000	-4.414213e+002
1.656200e+000	-4.396944e+002
1.655197e+000	-4.417451e+002
1.654817e+000	-4.413133e+002
1.654274e+000	-4.415292e+002
1.653556e+000	-4.424466e+002
1.652973e+000	-4.428243e+002
1.652701e+000	-4.419609e+002
1.652159e+000	-4.421768e+002
1.651643e+000	-4.422847e+002
1.651358e+000	-4.414752e+002
1.651235e+000	-4.400182e+002
1.651072e+000	-4.387231e+002
1.650381e+000	-4.395325e+002
1.649310e+000	-4.418530e+002
1.648863e+000	-4.416911e+002
1.648550e+000	-4.409896e+002
1.647886e+000	-4.416911e+002
1.647466e+000	-4.414213e+002
1.647383e+000	-4.398024e+002
1.647410e+000	-4.377518e+002
1.646447e+000	-4.396405e+002
1.645716e+000	-4.406118e+002
1.645498e+000	-4.395325e+002
1.645402e+000	-4.379676e+002
1.644711e+000	-4.387771e+002
1.643735e+000	-4.407198e+002
1.642976e+000	-4.417990e+002
1.642353e+000	-4.423387e+002
1.641688e+000	-4.430402e+002
1.641349e+000	-4.424466e+002
1.641321e+000	-4.406118e+002
1.641307e+000	-4.387231e+002
1.641360e+000	-4.365646e+002
1.641102e+000	-4.356472e+002
1.640478e+000	-4.361868e+002
1.639584e+000	-4.378057e+002
1.638513e+000	-4.401262e+002
1.637131e+000	-4.436878e+002
1.636345e+000	-4.448749e+002
1.636046e+000	-4.441195e+002
1.636113e+000	-4.419070e+002
1.635869e+000	-4.409356e+002
1.636179e+000	-4.377518e+002
1.636151e+000	-4.359170e+002
1.635501e+000	-4.365646e+002
1.634647e+000	-4.380216e+002
1.633928e+000	-4.389390e+002
1.633129e+000	-4.401801e+002
1.632261e+000	-4.416911e+002
1.631705e+000	-4.419609e+002
1.631054e+000	-4.426085e+002
1.631081e+000	-4.405579e+002
1.630944e+000	-4.391548e+002
1.630740e+000	-4.380216e+002
1.630212e+000	-4.381835e+002
1.629615e+000	-4.386152e+002
1.628545e+000	-4.409356e+002
1.628016e+000	-4.410975e+002
1.627568e+000	-4.409356e+002
1.626876e+000	-4.417451e+002
1.625725e+000	-4.443893e+002
1.625047e+000	-4.451448e+002
1.624802e+000	-4.441734e+002
1.624829e+000	-4.421228e+002
1.625071e+000	-4.392088e+002
1.625274e+000	-4.364566e+002
1.624785e+000	-4.364566e+002
1.624527e+000	-4.355393e+002
1.623850e+000	-4.362948e+002
1.622874e+000	-4.382374e+002
1.622602e+000	-4.373740e+002
1.621329e+000	-4.405039e+002
1.620244e+000	-4.428783e+002
1.620108e+000	-4.414752e+002
1.619809e+000	-4.407198e+002
1.619348e+000	-4.406118e+002
1.619320e+000	-4.387771e+002
1.619049e+000	-4.379136e+002
1.618236e+000	-4.392088e+002
1.617476e+000	-4.402881e+002
1.616948e+000	-4.404499e+002
1.616405e+000	-4.406658e+002
1.616513e+000	-4.382914e+002
1.616796e+000	-4.352155e+002
1.615942e+000	-4.366725e+002
1.615021e+000	-4.383993e+002
1.614492e+000	-4.385612e+002
1.614058e+000	-4.383454e+002
1.613515e+000	-4.385612e+002
1.612837e+000	-4.393167e+002
1.611821e+000	-4.414213e+002
1.611143e+000	-4.421768e+002
1.610939e+000	-4.410435e+002
1.611372e+000	-4.373740e+002
1.611222e+000	-4.360249e+002
1.610869e+000	-4.354853e+002
1.610503e+000	-4.349996e+002
1.609852e+000	-4.356472e+002
1.608890e+000	-4.375359e+002
1.607954e+000	-4.393167e+002
1.606925e+000	-4.414752e+002
1.606626e+000	-4.407198e+002
1.606368e+000	-4.398024e+002
1.605947e+000	-4.395325e+002
1.605675e+000	-4.386692e+002
1.605580e+000	-4.371042e+002
