    um         	pN
1.662082e+000	-7.877589e+002
1.662000e+000	-7.861400e+002
1.662270e+000	-7.831181e+002
1.661687e+000	-7.834958e+002
1.660454e+000	-7.864638e+002
1.658896e+000	-7.907269e+002
1.657433e+000	-7.946123e+002
1.655698e+000	-7.995769e+002
1.654262e+000	-8.033544e+002
1.654641e+000	-7.999007e+002
1.654870e+000	-7.970407e+002
1.655018e+000	-7.945044e+002
1.655356e+000	-7.912126e+002
1.655287e+000	-7.895397e+002
1.655679e+000	-7.860321e+002
1.655204e+000	-7.859781e+002
1.654770e+000	-7.857623e+002
1.654648e+000	-7.843052e+002
1.653523e+000	-7.868415e+002
1.652317e+000	-7.897016e+002
1.650421e+000	-7.953138e+002
1.649215e+000	-7.981739e+002
1.648483e+000	-7.991452e+002
1.647548e+000	-8.009260e+002
1.647669e+000	-7.984977e+002
1.647749e+000	-7.962312e+002
1.648385e+000	-7.917522e+002
1.649156e+000	-7.867336e+002
1.649778e+000	-7.823086e+002
1.650454e+000	-7.776678e+002
1.649302e+000	-7.803119e+002
1.647230e+000	-7.866257e+002
1.645184e+000	-7.928315e+002
1.643504e+000	-7.975803e+002
1.642298e+000	-8.004403e+002
1.640537e+000	-8.055129e+002
1.640618e+000	-8.032464e+002
1.641294e+000	-7.986056e+002
1.642796e+000	-7.906729e+002
1.644488e+000	-7.819848e+002
1.645313e+000	-7.767504e+002
1.645434e+000	-7.743220e+002
1.644011e+000	-7.780455e+002
1.642128e+000	-7.836037e+002
1.640178e+000	-7.894318e+002
1.637523e+000	-7.980659e+002
1.635613e+000	-8.037321e+002
1.634136e+000	-8.076714e+002
1.634068e+000	-8.059985e+002
1.635069e+000	-8.000626e+002
1.635989e+000	-7.944504e+002
1.636882e+000	-7.889461e+002
1.637125e+000	-7.860321e+002
1.637286e+000	-7.834418e+002
1.636676e+000	-7.839275e+002
1.635687e+000	-7.859242e+002
1.635104e+000	-7.863019e+002
1.632842e+000	-7.933711e+002
1.631148e+000	-7.981739e+002
1.629943e+000	-8.010339e+002
1.628926e+000	-8.031385e+002
