    um         	nN
-3.357726e-002	-6.197189e-001
-3.370713e-002	-6.263826e-001
-3.246982e-002	-6.183054e-001
-3.233749e-002	-6.221421e-001
-3.141856e-002	-6.174977e-001
-3.106149e-002	-6.189112e-001
-3.068569e-002	-6.201228e-001
-3.027243e-002	-6.209305e-001
-2.961571e-002	-6.191131e-001
-2.968940e-002	-6.251710e-001
-2.901393e-002	-6.231517e-001
-2.878797e-002	-6.259787e-001
-2.773793e-002	-6.199208e-001
-2.820492e-002	-6.302192e-001
-2.696761e-002	-6.221421e-001
-2.696638e-002	-6.273922e-001
-2.593508e-002	-6.215363e-001
-2.578403e-002	-6.251710e-001
-2.585771e-002	-6.312288e-001
-2.520098e-002	-6.294115e-001
-2.463790e-002	-6.286038e-001
-2.469286e-002	-6.344597e-001
-2.422342e-002	-6.346617e-001
-2.414727e-002	-6.391040e-001
-2.317216e-002	-6.338539e-001
-2.362042e-002	-6.439503e-001
-2.272022e-002	-6.395079e-001
-2.352432e-002	-6.534410e-001
-2.194989e-002	-6.417292e-001
-2.264162e-002	-6.544507e-001
-2.183506e-002	-6.510179e-001
-2.205858e-002	-6.586912e-001
-2.158914e-002	-6.588931e-001
-2.128826e-002	-6.609124e-001
-2.126830e-002	-6.659606e-001
-2.089250e-002	-6.671722e-001
-2.044179e-002	-6.675760e-001
-2.027200e-002	-6.710088e-001
-2.004603e-002	-6.738358e-001
-1.980134e-002	-6.764609e-001
-1.983756e-002	-6.821149e-001
-1.929321e-002	-6.815091e-001
-1.977893e-002	-6.920094e-001
-1.869144e-002	-6.855477e-001
-1.925207e-002	-6.968557e-001
-1.850170e-002	-6.940287e-001
-1.893123e-002	-7.039231e-001
-1.819959e-002	-7.012981e-001
-1.801108e-002	-7.045289e-001
-1.806603e-002	-7.103849e-001
-1.778388e-002	-7.126061e-001
-1.770774e-002	-7.170485e-001
-1.727575e-002	-7.176543e-001
-1.721834e-002	-7.222987e-001
-1.747932e-002	-7.303758e-001
-1.680386e-002	-7.283565e-001
-1.659662e-002	-7.313855e-001
-1.627700e-002	-7.332028e-001
-1.595739e-002	-7.350202e-001
-1.618091e-002	-7.426935e-001
-1.520579e-002	-7.374433e-001
