    um         	nN
-2.344804e-002	-4.654330e+000
-2.501856e-002	-4.698669e+000
-2.284341e-002	-4.662336e+000
-2.264116e-002	-4.668494e+000
-1.915076e-002	-4.603834e+000
-1.817651e-002	-4.593365e+000
-1.860330e-002	-4.613071e+000
-1.654253e-002	-4.579201e+000
-1.668339e-002	-4.592749e+000
-1.688146e-002	-4.607529e+000
-1.756558e-002	-4.632777e+000
-1.699164e-002	-4.630929e+000
-1.573145e-002	-4.614302e+000
-1.558641e-002	-4.621692e+000
-1.546994e-002	-4.629698e+000
-1.558221e-002	-4.642630e+000
-1.549435e-002	-4.651251e+000
-1.354795e-002	-4.619845e+000
-1.351726e-002	-4.629698e+000
-1.248583e-002	-4.617998e+000
-1.171173e-002	-4.611839e+000
-1.122356e-002	-4.611839e+000
-1.027790e-002	-4.601986e+000
-1.070470e-002	-4.621692e+000
-1.073119e-002	-4.632777e+000
-1.001428e-002	-4.627851e+000
-8.839876e-003	-4.613071e+000
-8.694813e-003	-4.620460e+000
-9.235984e-003	-4.642630e+000
-7.689891e-003	-4.619845e+000
-8.574171e-003	-4.649404e+000
-8.200375e-003	-4.651867e+000
-7.683605e-003	-4.651251e+000
-7.652917e-003	-4.661104e+000
-7.221924e-003	-4.662336e+000
-7.362811e-003	-4.675884e+000
-7.246346e-003	-4.683890e+000
-8.187803e-003	-4.714680e+000
-6.727487e-003	-4.693743e+000
-6.153539e-003	-4.691895e+000
-5.693946e-003	-4.692511e+000
-4.090655e-003	-4.668494e+000
-4.231541e-003	-4.682042e+000
-3.571796e-003	-4.678347e+000
-3.998613e-003	-4.698054e+000
-3.396065e-003	-4.695590e+000
-4.165968e-003	-4.722686e+000
-2.934384e-003	-4.706675e+000
-4.104593e-003	-4.742392e+000
-3.988128e-003	-4.750397e+000
-4.586499e-003	-4.773799e+000
-5.356402e-003	-4.800894e+000
-5.125562e-003	-4.806437e+000
-5.523779e-003	-4.825527e+000
-4.778277e-003	-4.819985e+000
-5.376627e-003	-4.843386e+000
-5.060009e-003	-4.847081e+000
-4.657615e-003	-4.848928e+000
-5.255985e-003	-4.872329e+000
-3.967202e-003	-4.855086e+000
-4.079490e-003	-4.868018e+000
-3.476942e-003	-4.865555e+000
-4.332622e-003	-4.894498e+000
-2.700753e-003	-4.869866e+000
-4.642974e-003	-4.922210e+000
-2.782332e-003	-4.892651e+000
-3.495057e-003	-4.918515e+000
-1.062576e-003	-4.876640e+000
-1.489392e-003	-4.896346e+000
-5.151382e-004	-4.885877e+000
-9.705333e-004	-4.906199e+000
-1.854813e-003	-4.935758e+000
-7.090050e-004	-4.921594e+000
-3.194487e-003	-4.985639e+000
-2.534762e-003	-4.981944e+000
-2.475475e-003	-4.991181e+000
-5.290764e-004	-4.959775e+000
-1.499133e-003	-4.991181e+000
-1.096738e-003	-4.993029e+000
-8.944969e-004	-4.999187e+000
-2.322057e-003	-5.040447e+000
-9.760968e-004	-5.021972e+000
-2.460835e-003	-5.064464e+000
-1.315027e-003	-5.050300e+000
-1.884778e-003	-5.073085e+000
1.759972e-004	-5.039215e+000
-1.308741e-003	-5.081706e+000
-1.649760e-003	-5.099565e+000
-1.647672e-003	-5.110034e+000
-1.073723e-003	-5.108186e+000
4.723903e-004	-5.085401e+000
-2.689345e-004	-5.111881e+000
4.193897e-004	-5.107570e+000
-3.791129e-004	-5.135282e+000
-5.485781e-004	-5.149446e+000
-9.467955e-004	-5.168536e+000
-1.173438e-003	-5.183932e+000
-1.257127e-003	-5.196248e+000
-5.116043e-004	-5.190705e+000
-1.664082e-004	-5.193785e+000
-6.789810e-004	-5.215338e+000
-2.478248e-003	-5.264603e+000
-1.475395e-003	-5.253519e+000
-7.012939e-004	-5.247360e+000
-6.706062e-004	-5.257213e+000
-7.542946e-004	-5.269530e+000
-3.804994e-004	-5.271993e+000
-3.528266e-005	-5.275072e+000
-8.052067e-004	-5.302168e+000
-1.232003e-003	-5.321874e+000
-1.172716e-003	-5.331111e+000
-1.656710e-003	-5.352049e+000
9.187470e-004	-5.307094e+000
-1.023475e-003	-5.359439e+000
9.373372e-005	-5.345891e+000
-1.791290e-003	-5.397003e+000
4.124398e-004	-5.360055e+000
-2.431082e-004	-5.384687e+000
-7.270818e-004	-5.405625e+000
7.904327e-004	-5.383455e+000
3.636368e-004	-5.403161e+000
1.680998e-003	-5.385303e+000
-4.041987e-004	-5.440727e+000
2.555469e-004	-5.437031e+000
-2.856250e-004	-5.459201e+000
-1.977596e-004	-5.467822e+000
-7.389315e-004	-5.489992e+000
-5.080909e-004	-5.495534e+000
-7.919322e-004	-5.512161e+000
6.969831e-004	-5.490608e+000
-7.591560e-004	-5.532483e+000
1.007220e-004	-5.524477e+000
-1.841500e-003	-5.576822e+000
-7.814689e-004	-5.564505e+000
-1.093889e-003	-5.581748e+000
-8.344695e-004	-5.586675e+000
-1.804526e-003	-5.618081e+000
-2.746004e-003	-5.648872e+000
-3.515907e-003	-5.675968e+000
-3.199290e-003	-5.679663e+000
-3.740462e-003	-5.701832e+000
-3.280890e-003	-5.702448e+000
-2.821297e-003	-5.703063e+000
-1.789865e-003	-5.691363e+000
-1.301694e-003	-5.691363e+000
-2.071618e-003	-5.718459e+000
-1.383293e-003	-5.714148e+000
-5.805932e-004	-5.707374e+000
-2.639757e-004	-5.711069e+000
-3.315572e-005	-5.716612e+000
5.407925e-004	-5.714764e+000
1.057563e-003	-5.714148e+000
1.732834e-004	-5.743707e+000
1.176116e-003	-5.732623e+000
5.205886e-004	-5.757255e+000
2.981649e-003	-5.714764e+000
1.211001e-003	-5.763413e+000
2.842871e-003	-5.738781e+000
-1.431772e-005	-5.810831e+000
-2.695598e-004	-5.826843e+000
-1.211017e-003	-5.857633e+000
-1.552036e-003	-5.875492e+000
-6.349803e-004	-5.866255e+000
-2.005343e-003	-5.906283e+000
-1.345618e-003	-5.902588e+000
-1.972566e-003	-5.926605e+000
-2.313585e-003	-5.944463e+000
-2.254299e-003	-5.953700e+000
-2.252210e-003	-5.964169e+000
-1.792638e-003	-5.964785e+000
-1.819128e-003	-5.975870e+000
-4.731671e-004	-5.957395e+000
-6.998307e-004	-5.972791e+000
-1.355358e-003	-5.997423e+000
-1.267493e-003	-6.006045e+000
-1.036652e-003	-6.011587e+000
-1.406270e-003	-6.030061e+000
-4.320161e-004	-6.019592e+000
-2.374238e-003	-6.071937e+000
-7.709466e-004	-6.047920e+000
-2.227086e-003	-6.089795e+000
-1.252832e-003	-6.079326e+000
-4.167219e-003	-6.152609e+000
-3.393118e-003	-6.146450e+000
-2.933546e-003	-6.147066e+000
-3.045813e-003	-6.159998e+000
-1.385344e-003	-6.134750e+000
-3.842227e-003	-6.198179e+000
-2.467688e-003	-6.179089e+000
-2.436886e-003	-6.188942e+000
-1.062213e-003	-6.169851e+000
-2.089354e-003	-6.202490e+000
-3.143947e-004	-6.174778e+000
-3.693702e-004	-6.186478e+000
1.720118e-003	-6.151993e+000
-2.791683e-004	-6.205569e+000
1.467191e-003	-6.178473e+000
9.833315e-004	-6.199410e+000
2.072055e-003	-6.186478e+000
8.447813e-004	-6.223427e+000
2.179462e-004	-6.247444e+000
9.063635e-004	-6.243134e+000
-8.927695e-004	-6.292399e+000
-1.119299e-003	-6.307794e+000
-2.804076e-003	-6.354596e+000
-2.001262e-003	-6.347822e+000
-1.827506e-003	-6.354596e+000
-1.853883e-003	-6.365680e+000
-2.023234e-003	-6.379844e+000
-2.478516e-003	-6.400166e+000
-1.761499e-003	-6.395240e+000
-1.616322e-003	-6.402630e+000
-1.291663e-005	-6.378613e+000
-1.669095e-003	-6.424799e+000
1.344630e-004	-6.396471e+000
-5.495499e-004	-6.421720e+000
8.251032e-004	-6.402630e+000
