    um         	nN
1.653166e+000	-2.617803e+000
1.653127e+000	-2.612956e+000
1.652788e+000	-2.611341e+000
1.652000e+000	-2.614572e+000
1.651625e+000	-2.613360e+000
1.651099e+000	-2.613764e+000
1.650086e+000	-2.619418e+000
1.649111e+000	-2.624668e+000
1.648417e+000	-2.626889e+000
1.647722e+000	-2.629111e+000
1.647496e+000	-2.626284e+000
1.647120e+000	-2.625072e+000
1.646726e+000	-2.624062e+000
1.646275e+000	-2.623659e+000
1.646236e+000	-2.618812e+000
1.646010e+000	-2.615985e+000
1.645840e+000	-2.612552e+000
1.645745e+000	-2.608312e+000
1.644789e+000	-2.613360e+000
1.643870e+000	-2.618004e+000
1.643269e+000	-2.619216e+000
1.642912e+000	-2.617803e+000
1.642367e+000	-2.618408e+000
1.641916e+000	-2.618004e+000
1.641747e+000	-2.614572e+000
1.641577e+000	-2.611139e+000
1.640845e+000	-2.613764e+000
1.639832e+000	-2.619418e+000
1.639587e+000	-2.616793e+000
1.639605e+000	-2.611341e+000
1.638817e+000	-2.614572e+000
1.638123e+000	-2.616793e+000
1.638009e+000	-2.612754e+000
1.637933e+000	-2.608312e+000
1.637519e+000	-2.607504e+000
1.636488e+000	-2.613360e+000
1.635344e+000	-2.620428e+000
1.634500e+000	-2.624264e+000
1.633862e+000	-2.625880e+000
1.632980e+000	-2.630120e+000
1.632941e+000	-2.625274e+000
1.633652e+000	-2.612351e+000
1.633894e+000	-2.604475e+000
1.632713e+000	-2.611947e+000
1.631962e+000	-2.614774e+000
1.631567e+000	-2.613764e+000
1.630573e+000	-2.619216e+000
1.629580e+000	-2.624668e+000
1.628848e+000	-2.627293e+000
1.628434e+000	-2.626485e+000
1.628283e+000	-2.622851e+000
1.628076e+000	-2.619822e+000
1.627812e+000	-2.617399e+000
1.628148e+000	-2.608514e+000
1.627941e+000	-2.605485e+000
1.627190e+000	-2.608312e+000
1.626365e+000	-2.611947e+000
1.625783e+000	-2.612956e+000
1.625257e+000	-2.613360e+000
1.624600e+000	-2.615178e+000
1.623775e+000	-2.618812e+000
1.623343e+000	-2.618207e+000
1.622349e+000	-2.623659e+000
1.621767e+000	-2.624668e+000
1.621859e+000	-2.618408e+000
1.621633e+000	-2.615581e+000
1.621295e+000	-2.613966e+000
1.620451e+000	-2.617803e+000
1.619700e+000	-2.620629e+000
1.619306e+000	-2.619620e+000
1.618911e+000	-2.618610e+000
1.618085e+000	-2.622245e+000
1.617316e+000	-2.625274e+000
1.617315e+000	-2.620024e+000
1.616939e+000	-2.618812e+000
1.616076e+000	-2.622851e+000
1.615607e+000	-2.622649e+000
1.615493e+000	-2.618610e+000
1.615360e+000	-2.614774e+000
1.615041e+000	-2.612956e+000
1.614290e+000	-2.615783e+000
1.613465e+000	-2.619418e+000
1.612546e+000	-2.624062e+000
1.611608e+000	-2.628909e+000
1.610876e+000	-2.631534e+000
1.610763e+000	-2.627495e+000
1.610705e+000	-2.622851e+000
1.610273e+000	-2.622245e+000
1.610159e+000	-2.618207e+000
1.609896e+000	-2.615783e+000
1.609201e+000	-2.618004e+000
1.608919e+000	-2.615783e+000
1.608618e+000	-2.613764e+000
1.607849e+000	-2.616793e+000
1.607248e+000	-2.618004e+000
1.606591e+000	-2.619822e+000
1.605766e+000	-2.623457e+000
1.605484e+000	-2.621235e+000
1.605651e+000	-2.614168e+000
1.605387e+000	-2.611745e+000
1.604412e+000	-2.616995e+000
1.603718e+000	-2.619216e+000
1.603230e+000	-2.619216e+000
1.602442e+000	-2.622447e+000
1.602122e+000	-2.620629e+000
1.601989e+000	-2.616793e+000
1.601501e+000	-2.616793e+000
1.601032e+000	-2.616591e+000
1.600749e+000	-2.614370e+000
1.599980e+000	-2.617399e+000
1.599436e+000	-2.618004e+000
1.599116e+000	-2.616187e+000
1.598534e+000	-2.617197e+000
1.598364e+000	-2.613764e+000
1.597763e+000	-2.614976e+000
1.596769e+000	-2.620428e+000
1.596431e+000	-2.618812e+000
1.596486e+000	-2.612956e+000
1.595810e+000	-2.614976e+000
1.594498e+000	-2.623860e+000
1.593635e+000	-2.627899e+000
1.593184e+000	-2.627495e+000
1.593295e+000	-2.621033e+000
1.593463e+000	-2.613966e+000
1.593105e+000	-2.612552e+000
1.592505e+000	-2.613764e+000
1.592222e+000	-2.611543e+000
1.591584e+000	-2.613158e+000
1.590815e+000	-2.616187e+000
1.590420e+000	-2.615178e+000
1.589632e+000	-2.618408e+000
1.588807e+000	-2.622043e+000
1.587888e+000	-2.626688e+000
1.587100e+000	-2.629918e+000
1.586930e+000	-2.626485e+000
1.587172e+000	-2.618610e+000
1.587414e+000	-2.610735e+000
1.587039e+000	-2.609523e+000
1.586326e+000	-2.611947e+000
1.585088e+000	-2.620024e+000
1.583963e+000	-2.626889e+000
1.583681e+000	-2.624668e+000
1.583380e+000	-2.622649e+000
1.582461e+000	-2.627293e+000
1.581916e+000	-2.627899e+000
1.582158e+000	-2.620024e+000
1.582138e+000	-2.614976e+000
1.581819e+000	-2.613158e+000
1.581199e+000	-2.614572e+000
1.580655e+000	-2.615178e+000
1.579848e+000	-2.618610e+000
1.578892e+000	-2.623659e+000
1.577692e+000	-2.631332e+000
1.576679e+000	-2.636986e+000
1.576228e+000	-2.636582e+000
1.576676e+000	-2.626485e+000
1.577293e+000	-2.614572e+000
1.577011e+000	-2.612351e+000
1.576485e+000	-2.612754e+000
1.576203e+000	-2.610533e+000
1.575714e+000	-2.610533e+000
1.574851e+000	-2.614572e+000
1.573764e+000	-2.621033e+000
1.572358e+000	-2.630928e+000
1.571383e+000	-2.636178e+000
1.571232e+000	-2.632543e+000
1.571549e+000	-2.623860e+000
1.571491e+000	-2.619216e+000
1.571602e+000	-2.612754e+000
1.572125e+000	-2.601850e+000
1.571206e+000	-2.606495e+000
1.569594e+000	-2.618610e+000
1.568918e+000	-2.620629e+000
1.568355e+000	-2.621437e+000
1.567474e+000	-2.625678e+000
1.567060e+000	-2.624870e+000
1.566834e+000	-2.622043e+000
1.566627e+000	-2.619014e+000
1.566813e+000	-2.611745e+000
1.566830e+000	-2.606293e+000
1.566585e+000	-2.603668e+000
1.566060e+000	-2.604071e+000
1.565159e+000	-2.608514e+000
1.563566e+000	-2.620428e+000
1.562254e+000	-2.629313e+000
1.562009e+000	-2.626688e+000
1.561689e+000	-2.624870e+000
1.561295e+000	-2.623860e+000
1.561649e+000	-2.614774e+000
1.562060e+000	-2.605081e+000
1.561852e+000	-2.602052e+000
1.561252e+000	-2.603264e+000
1.559996e+000	-2.611543e+000
1.558777e+000	-2.619418e+000
1.557633e+000	-2.626485e+000
1.556714e+000	-2.631130e+000
1.556151e+000	-2.631938e+000
1.556056e+000	-2.627697e+000
1.556317e+000	-2.619620e+000
1.556596e+000	-2.611341e+000
1.556483e+000	-2.607302e+000
1.555994e+000	-2.607302e+000
1.555206e+000	-2.610533e+000
1.554287e+000	-2.615178e+000
1.553537e+000	-2.618004e+000
1.552562e+000	-2.623255e+000
1.551680e+000	-2.627495e+000
1.551211e+000	-2.627293e+000
1.551340e+000	-2.620629e+000
1.551507e+000	-2.613562e+000
1.551075e+000	-2.612956e+000
1.550381e+000	-2.615178e+000
1.550230e+000	-2.611543e+000
1.550060e+000	-2.608110e+000
1.549085e+000	-2.613360e+000
1.547941e+000	-2.620428e+000
1.546966e+000	-2.625678e+000
1.546272e+000	-2.627899e+000
1.546027e+000	-2.625274e+000
1.545332e+000	-2.627495e+000
1.544750e+000	-2.628505e+000
1.544749e+000	-2.623255e+000
1.544748e+000	-2.618004e+000
1.544278e+000	-2.617803e+000
1.543472e+000	-2.621235e+000
1.543114e+000	-2.619822e+000
1.542664e+000	-2.619418e+000
1.541969e+000	-2.621639e+000
1.541706e+000	-2.619216e+000
1.541648e+000	-2.614572e+000
1.541047e+000	-2.615783e+000
1.540466e+000	-2.616793e+000
1.539996e+000	-2.616591e+000
1.539620e+000	-2.615379e+000
1.539038e+000	-2.616389e+000
1.538044e+000	-2.621841e+000
1.537200e+000	-2.625678e+000
1.536955e+000	-2.623053e+000
1.537235e+000	-2.614774e+000
1.537102e+000	-2.610937e+000
1.536783e+000	-2.609120e+000
1.536669e+000	-2.605081e+000
1.536349e+000	-2.603264e+000
1.535468e+000	-2.607504e+000
1.533987e+000	-2.618207e+000
1.533012e+000	-2.623457e+000
1.531793e+000	-2.631332e+000
1.530874e+000	-2.635976e+000
1.530573e+000	-2.633957e+000
1.530328e+000	-2.631332e+000
1.530252e+000	-2.626889e+000
1.530438e+000	-2.619620e+000
1.530811e+000	-2.610331e+000
1.530866e+000	-2.604475e+000
1.530321e+000	-2.605081e+000
1.529458e+000	-2.609120e+000
1.528146e+000	-2.618004e+000
1.526384e+000	-2.631736e+000
1.525072e+000	-2.640621e+000
1.524546e+000	-2.641024e+000
1.524451e+000	-2.636784e+000
1.525143e+000	-2.624062e+000
1.525834e+000	-2.611341e+000
1.526301e+000	-2.601042e+000
1.526337e+000	-2.595389e+000
1.525362e+000	-2.600639e+000
1.523881e+000	-2.611341e+000
1.522419e+000	-2.621841e+000
1.521800e+000	-2.623255e+000
1.521162e+000	-2.624870e+000
1.520711e+000	-2.624466e+000
1.520822e+000	-2.618004e+000
1.520614e+000	-2.614976e+000
1.520351e+000	-2.612552e+000
1.520031e+000	-2.610735e+000
1.519468e+000	-2.611543e+000
1.518849e+000	-2.612956e+000
1.518136e+000	-2.615379e+000
1.517516e+000	-2.616793e+000
1.516934e+000	-2.617803e+000
1.516165e+000	-2.620832e+000
1.515564e+000	-2.622043e+000
1.515544e+000	-2.616995e+000
1.515599e+000	-2.611139e+000
1.515429e+000	-2.607706e+000
1.515166e+000	-2.605283e+000
1.514659e+000	-2.605485e+000
1.513740e+000	-2.610129e+000
1.512783e+000	-2.615178e+000
1.511752e+000	-2.621033e+000
1.510439e+000	-2.629918e+000
1.509577e+000	-2.633957e+000
1.509350e+000	-2.631130e+000
1.509180e+000	-2.627697e+000
1.509404e+000	-2.620024e+000
1.509272e+000	-2.616187e+000
1.508989e+000	-2.613966e+000
1.508988e+000	-2.608716e+000
1.507975e+000	-2.614370e+000
1.506588e+000	-2.624062e+000
1.505276e+000	-2.632947e+000
1.504431e+000	-2.636784e+000
1.504543e+000	-2.630322e+000
1.504822e+000	-2.622043e+000
1.504839e+000	-2.616591e+000
1.504557e+000	-2.614370e+000
1.504369e+000	-2.611139e+000
1.503730e+000	-2.612754e+000
1.503017e+000	-2.615178e+000
1.502548e+000	-2.614976e+000
1.501591e+000	-2.620024e+000
1.500897e+000	-2.622245e+000
1.500634e+000	-2.619822e+000
