    um         	nN
1.773170e+000	-5.671041e+000
1.771795e+000	-5.690131e+000
1.769591e+000	-5.727080e+000
1.768903e+000	-5.731391e+000
1.768843e+000	-5.722154e+000
1.767669e+000	-5.736934e+000
1.767066e+000	-5.739397e+000
1.767378e+000	-5.722154e+000
1.768291e+000	-5.691979e+000
1.769719e+000	-5.650719e+000
1.770403e+000	-5.625471e+000
1.770143e+000	-5.620544e+000
1.769426e+000	-5.625471e+000
1.767594e+000	-5.654414e+000
1.765419e+000	-5.690747e+000
1.763272e+000	-5.726465e+000
1.762012e+000	-5.743091e+000
1.761752e+000	-5.738165e+000
1.761035e+000	-5.743091e+000
1.761233e+000	-5.728312e+000
1.761974e+000	-5.701832e+000
1.762458e+000	-5.680894e+000
1.762742e+000	-5.664267e+000
1.762711e+000	-5.654414e+000
1.761994e+000	-5.659341e+000
1.760591e+000	-5.679047e+000
1.759331e+000	-5.695674e+000
1.757756e+000	-5.719075e+000
1.756267e+000	-5.740628e+000
1.755607e+000	-5.744323e+000
1.755948e+000	-5.726465e+000
1.756460e+000	-5.704911e+000
1.756944e+000	-5.683973e+000
1.758372e+000	-5.642714e+000
1.759113e+000	-5.616234e+000
1.758567e+000	-5.617465e+000
1.757736e+000	-5.624855e+000
1.756304e+000	-5.645177e+000
1.754872e+000	-5.665499e+000
1.753669e+000	-5.680894e+000
1.752523e+000	-5.695058e+000
1.751349e+000	-5.709837e+000
1.750088e+000	-5.726465e+000
1.749715e+000	-5.724001e+000
1.750513e+000	-5.696290e+000
1.752055e+000	-5.652567e+000
1.752710e+000	-5.627934e+000
1.753251e+000	-5.605765e+000
1.753821e+000	-5.582979e+000
1.752732e+000	-5.595912e+000
1.750614e+000	-5.631013e+000
1.747953e+000	-5.677815e+000
1.745577e+000	-5.718459e+000
1.743888e+000	-5.744323e+000
1.742571e+000	-5.762182e+000
1.743055e+000	-5.741244e+000
1.744596e+000	-5.697521e+000
1.746338e+000	-5.649488e+000
1.747366e+000	-5.616850e+000
1.746791e+000	-5.618697e+000
1.746961e+000	-5.604533e+000
1.746158e+000	-5.611307e+000
1.744269e+000	-5.641482e+000
1.742722e+000	-5.664267e+000
1.740633e+000	-5.698753e+000
1.738629e+000	-5.731391e+000
1.737512e+000	-5.744939e+000
1.737538e+000	-5.733854e+000
1.737765e+000	-5.718459e+000
1.737677e+000	-5.709837e+000
1.738218e+000	-5.687668e+000
1.739388e+000	-5.651951e+000
1.740272e+000	-5.622392e+000
1.740928e+000	-5.597759e+000
1.740354e+000	-5.599607e+000
1.739351e+000	-5.610691e+000
1.738005e+000	-5.629166e+000
1.736115e+000	-5.659341e+000
1.733568e+000	-5.703679e+000
1.731450e+000	-5.738781e+000
1.730819e+000	-5.741860e+000
1.730388e+000	-5.740628e+000
1.730615e+000	-5.725233e+000
1.732585e+000	-5.672273e+000
1.734928e+000	-5.611307e+000
1.737070e+000	-5.554652e+000
1.736925e+000	-5.547262e+000
1.734807e+000	-5.582364e+000
1.732345e+000	-5.624855e+000
1.729427e+000	-5.677199e+000
1.726508e+000	-5.729544e+000
1.723875e+000	-5.775730e+000
1.722329e+000	-5.798515e+000
1.722441e+000	-5.785583e+000
1.723526e+000	-5.751713e+000
1.725439e+000	-5.699984e+000
1.728096e+000	-5.632245e+000
1.729924e+000	-5.582364e+000
1.729836e+000	-5.573742e+000
1.728862e+000	-5.584211e+000
1.727001e+000	-5.613770e+000
1.724397e+000	-5.659341e+000
1.721163e+000	-5.718459e+000
1.718902e+000	-5.756640e+000
1.718328e+000	-5.758487e+000
1.718898e+000	-5.735702e+000
1.720040e+000	-5.700600e+000
1.720895e+000	-5.671657e+000
1.721665e+000	-5.644561e+000
1.722149e+000	-5.623623e+000
1.722147e+000	-5.613154e+000
1.721887e+000	-5.608228e+000
1.720684e+000	-5.623623e+000
1.718823e+000	-5.653182e+000
1.716762e+000	-5.687052e+000
1.715159e+000	-5.711069e+000
1.714042e+000	-5.724617e+000
1.712467e+000	-5.748018e+000
1.711578e+000	-5.756640e+000
1.711319e+000	-5.751713e+000
1.711974e+000	-5.727080e+000
1.713201e+000	-5.690131e+000
1.713885e+000	-5.664883e+000
1.714312e+000	-5.645177e+000
1.714310e+000	-5.634708e+000
1.713478e+000	-5.642098e+000
1.712447e+000	-5.653798e+000
1.711902e+000	-5.655030e+000
1.711070e+000	-5.662420e+000
1.709181e+000	-5.692595e+000
1.707949e+000	-5.708606e+000
1.707632e+000	-5.704911e+000
1.707544e+000	-5.696290e+000
1.707885e+000	-5.678431e+000
1.708484e+000	-5.655030e+000
1.708681e+000	-5.640250e+000
1.708279e+000	-5.638403e+000
1.707276e+000	-5.649488e+000
1.706244e+000	-5.661188e+000
1.705070e+000	-5.675968e+000
1.704582e+000	-5.675968e+000
1.704265e+000	-5.672273e+000
1.703119e+000	-5.686437e+000
1.702945e+000	-5.679663e+000
1.703429e+000	-5.658725e+000
1.702912e+000	-5.659341e+000
1.702167e+000	-5.664883e+000
1.702193e+000	-5.653798e+000
1.701419e+000	-5.659957e+000
1.699701e+000	-5.686437e+000
1.698727e+000	-5.696906e+000
1.697924e+000	-5.703679e+000
1.696692e+000	-5.719690e+000
1.695861e+000	-5.727080e+000
1.696030e+000	-5.712917e+000
1.696800e+000	-5.685821e+000
1.697827e+000	-5.653182e+000
1.698225e+000	-5.634092e+000
1.698337e+000	-5.621160e+000
1.698078e+000	-5.616234e+000
1.697475e+000	-5.618697e+000
1.696386e+000	-5.631629e+000
1.694211e+000	-5.667962e+000
1.692265e+000	-5.699369e+000
1.691119e+000	-5.713532e+000
1.690030e+000	-5.726465e+000
1.689971e+000	-5.717227e+000
1.691198e+000	-5.680278e+000
1.692225e+000	-5.647640e+000
1.693281e+000	-5.614386e+000
1.692649e+000	-5.617465e+000
1.692418e+000	-5.611923e+000
1.691787e+000	-5.615002e+000
1.690527e+000	-5.631629e+000
1.689009e+000	-5.653798e+000
1.687492e+000	-5.675968e+000
1.685860e+000	-5.700600e+000
1.684371e+000	-5.722154e+000
1.684111e+000	-5.717227e+000
1.684595e+000	-5.696290e+000
1.684793e+000	-5.681510e+000
1.685248e+000	-5.661188e+000
1.685961e+000	-5.635324e+000
1.686216e+000	-5.619313e+000
1.685899e+000	-5.615618e+000
1.684181e+000	-5.642098e+000
1.682263e+000	-5.672889e+000
1.680889e+000	-5.691979e+000
1.679600e+000	-5.709222e+000
1.678283e+000	-5.727080e+000
1.677422e+000	-5.735086e+000
1.677449e+000	-5.724001e+000
1.677933e+000	-5.703063e+000
1.678760e+000	-5.674736e+000
1.679358e+000	-5.651335e+000
1.679098e+000	-5.646409e+000
1.679153e+000	-5.634708e+000
1.679008e+000	-5.627318e+000
1.677548e+000	-5.648256e+000
1.675344e+000	-5.685205e+000
1.674169e+000	-5.699984e+000
1.672480e+000	-5.725849e+000
1.671191e+000	-5.743091e+000
1.671018e+000	-5.736318e+000
1.671273e+000	-5.720306e+000
1.671299e+000	-5.709222e+000
1.671726e+000	-5.689516e+000
1.673125e+000	-5.648872e+000
1.674009e+000	-5.619313e+000
1.673635e+000	-5.616850e+000
1.672918e+000	-5.621776e+000
1.672344e+000	-5.623623e+000
1.671026e+000	-5.641482e+000
1.669194e+000	-5.670425e+000
1.667534e+000	-5.695674e+000
1.665959e+000	-5.719075e+000
1.665442e+000	-5.719690e+000
1.664782e+000	-5.723385e+000
1.664894e+000	-5.710453e+000
1.666436e+000	-5.666731e+000
1.666720e+000	-5.650103e+000
1.666632e+000	-5.641482e+000
1.667030e+000	-5.622392e+000
1.666427e+000	-5.624855e+000
1.665310e+000	-5.638403e+000
1.663563e+000	-5.665499e+000
1.661274e+000	-5.704295e+000
1.659899e+000	-5.723385e+000
1.659039e+000	-5.731391e+000
1.658980e+000	-5.722154e+000
1.659607e+000	-5.698137e+000
1.660462e+000	-5.669194e+000
1.661432e+000	-5.637787e+000
1.662002e+000	-5.615002e+000
1.661256e+000	-5.620544e+000
1.659453e+000	-5.648872e+000
1.657678e+000	-5.676584e+000
1.656360e+000	-5.694442e+000
1.654757e+000	-5.718459e+000
1.653468e+000	-5.735702e+000
1.653866e+000	-5.716612e+000
1.654493e+000	-5.692595e+000
1.654262e+000	-5.687052e+000
1.654403e+000	-5.673504e+000
1.654543e+000	-5.659957e+000
1.654770e+000	-5.644561e+000
1.654224e+000	-5.645793e+000
1.653221e+000	-5.656878e+000
1.652018e+000	-5.672273e+000
1.649614e+000	-5.713532e+000
1.647982e+000	-5.738165e+000
1.647923e+000	-5.728928e+000
1.648436e+000	-5.707374e+000
1.648462e+000	-5.696290e+000
1.647688e+000	-5.702448e+000
1.648286e+000	-5.679047e+000
1.649313e+000	-5.646409e+000
1.650111e+000	-5.618697e+000
1.649938e+000	-5.611923e+000
1.648706e+000	-5.627934e+000
1.646960e+000	-5.655030e+000
1.645156e+000	-5.683357e+000
1.644039e+000	-5.696906e+000
1.642950e+000	-5.709837e+000
1.641775e+000	-5.724617e+000
1.641659e+000	-5.716612e+000
1.642486e+000	-5.688284e+000
1.644113e+000	-5.642714e+000
1.644512e+000	-5.623623e+000
1.643709e+000	-5.630397e+000
1.642420e+000	-5.647640e+000
1.641160e+000	-5.664267e+000
1.640385e+000	-5.670425e+000
1.638953e+000	-5.690747e+000
1.637464e+000	-5.712301e+000
1.636176e+000	-5.729544e+000
1.635602e+000	-5.731391e+000
1.635657e+000	-5.719690e+000
1.636426e+000	-5.692595e+000
1.637282e+000	-5.663651e+000
1.637937e+000	-5.639019e+000
1.637849e+000	-5.630397e+000
1.637075e+000	-5.636556e+000
1.636072e+000	-5.647640e+000
1.634269e+000	-5.675968e+000
1.632122e+000	-5.711685e+000
1.630204e+000	-5.742476e+000
1.628543e+000	-5.767724e+000
1.627912e+000	-5.770803e+000
1.628482e+000	-5.748018e+000
